,date_on,date_off,nackshatra_result,tithi_result,var_result
0,22.04.2023 05:09,22.04.2023 05:19,Krittika,Dwitiya,Saturday
1,20.06.2023 03:44,20.06.2023 10:37,Punarvasu,Dwitiya,Tuesday
2,28.08.2022 19:25,29.08.2022 05:28,Uttara Phalg.,Dwitiya,Sunday
3,24.12.2022 19:45,25.12.2022 05:54,Uttarashadha,Dwitiya,Saturday
4,26.02.2023 01:29,26.02.2023 07:29,Krittika,Saptami,Sunday
5,26.02.2023 07:29,26.02.2023 22:29,Krittika,Saptami,Sunday
6,25.06.2023 07:40,25.06.2023 21:55,Uttara Phalg.,Saptami,Sunday
7,21.10.2023 17:23,21.10.2023 19:23,Uttarashadha,Saptami,Saturday
8,03.01.2023 08:59,03.01.2023 13:55,Krittika,Dwadashi,Tuesday
9,23.12.2023 18:49,24.12.2023 03:54,Krittika,Dwadashi,Saturday
10,02.05.2023 04:45,02.05.2023 17:10,Uttara Phalg.,Dwadashi,Tuesday
11,05.11.2022 07:44,05.11.2022 14:37,Uttarabhadra,Dwadashi,Saturday
12,04.07.2023 11:08,05.07.2023 03:09,Uttarashadha,Dwitiya,Tuesday
13,11.09.2022 10:45,12.09.2022 04:29,Uttarabhadra,Dwitiya,Sunday
14,05.09.2023 13:16,06.09.2023 05:43,Krittika,Saptami,Tuesday
15,16.10.2022 23:44,17.10.2022 07:00,Punarvasu,Saptami,Sunday
16,12.02.2023 23:56,13.02.2023 07:16,Vishakha,Saptami,Sunday
17,09.07.2023 03:57,09.07.2023 17:00,Uttarabhadra,Saptami,Sunday
18,08.07.2023 19:21,09.07.2023 03:57,Uttarabhadra,Saptami,Saturday
19,23.08.2022 08:13,24.08.2022 05:18,Punarvasu,Dwadashi,Tuesday
20,22.10.2022 11:19,22.10.2022 15:32,Uttara Phalg.,Dwadashi,Saturday
21,20.12.2022 07:23,20.12.2022 08:57,Vishakha,Dwadashi,Tuesday
22,20.12.2022 08:57,20.12.2022 22:15,Vishakha,Dwadashi,Tuesday
23,16.05.2023 04:17,16.05.2023 05:45,Uttarabhadra,Dwadashi,Tuesday
